"filename", "language", "JavaScript", "JSON", "Python", "PostCSS", "Markdown", "JavaScript JSX", "XML", "HTML", "Excel", "CSV", "comment", "blank", "total"
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\atualizacao_backup.py", "Python", 0, 0, 147, 0, 0, 0, 0, 0, 0, 0, 3, 25, 175
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\atualizacaodb.py", "Python", 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 12, 17, 89
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\auth.py", "Python", 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 10, 14, 64
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\backup.py", "Python", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 18, 15, 80
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\cadastros_basicos.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 1, 5, 27
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\centros_custo.py", "Python", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 6, 19, 116
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\chamados.py", "Python", 0, 0, 175, 0, 0, 0, 0, 0, 0, 0, 24, 37, 236
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\comunidade.py", "Python", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 7, 68
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\faixas.py", "Python", 0, 0, 109, 0, 0, 0, 0, 0, 0, 0, 4, 25, 138
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\faq.py", "Python", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 9, 13, 94
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\filtros.py", "Python", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 8, 16, 71
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\gestao_acoes.py", "Python", 0, 0, 407, 0, 0, 0, 0, 0, 0, 0, 11, 45, 463
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\hierarquias.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\natureza_financeira.py", "Python", 0, 0, 94, 0, 0, 0, 0, 0, 0, 0, 4, 20, 118
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\notificacoes.py", "Python", 0, 0, 114, 0, 0, 0, 0, 0, 0, 0, 17, 27, 158
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\permissoes.py", "Python", 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 11, 30, 186
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\preventivas.py", "Python", 0, 0, 222, 0, 0, 0, 0, 0, 0, 0, 500, 28, 750
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\restaurarbackup.py", "Python", 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 13, 13, 65
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\solicitacoes.py", "Python", 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 13, 16, 115
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\tabelas.py", "Python", 0, 0, 353, 0, 0, 0, 0, 0, 0, 0, 34, 55, 442
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\Rotas\usuarios.py", "Python", 0, 0, 63, 0, 0, 0, 0, 0, 0, 0, 7, 14, 84
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\__init__.py", "Python", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 7, 5, 41
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\centros_custo.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 201, 0, 1, 202
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\conv_db.py", "Python", 0, 0, 95, 0, 0, 0, 0, 0, 0, 0, 13, 17, 125
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\dados_exemplo.xlsx", "Excel", 0, 0, 0, 0, 0, 0, 0, 0, 382, 0, 0, 2, 384
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\data_db.py", "Python", 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 14, 14, 126
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\db.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 21, 10, 51
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\import_db.py", "Python", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 22, 17, 97
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\importacoes_bd.csv", "CSV", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\backend\init_db.py", "Python", 0, 0, 365, 0, 0, 0, 0, 0, 0, 0, 1, 34, 400
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\README.md", "Markdown", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 6, 7, 35
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\package-lock.json", "JSON", 0, 3979, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3980
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\package.json", "JSON", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\public\manifest.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\public\sw.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"c:\Users\danilo.azevedo.TRADTI\OneDrive\Área de Trabalho\Dados\Manutenção\Dashboard Manutenção\PCM-Hub\frontend\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
